,n,Node_lat,Node_lon,Average
2,2.0,-87.36,36.53,71.19775
19,19.0,-76.45,41.0,69.86825
29,29.0,-113.27,54.72,57.35125
51,51.0,-75.2,39.96,56.912875
32,32.0,-63.12,46.23,56.19075
1,1.0,-87.64,41.89,54.007875
3,3.0,-71.55,41.92,52.443
17,17.0,-122.67,49.12,52.4085
7,7.0,-118.88,34.21,50.99025
9,9.0,-71.1,42.35,50.548125
23,23.0,-63.67,44.64,48.623875
40,40.0,-75.3,40.02,47.984875
31,31.0,-111.69,43.78,47.704875
50,50.0,-81.71,36.22,46.2555
10,10.0,-71.2,42.5,46.156875
0,0.0,-95.89,41.14,44.26225
5,5.0,-79.46,46.31,43.760875
45,45.0,-113.46,53.58,43.4815
47,47.0,-88.2,41.63,43.285375
27,27.0,-111.66,40.23,43.10525
22,22.0,-123.35,48.45,42.82525
70,70.0,-93.3,37.22,42.81275
12,12.0,-74.5,39.43,42.782625
6,6.0,-84.04,41.9,42.74
18,18.0,-76.48,44.23,42.610375
28,28.0,-105.87,37.47,42.601
26,26.0,-85.16,34.26,41.81675
48,48.0,-123.02,49.28,41.450625
16,16.0,-73.99,40.75,41.412875
39,39.0,-80.04,39.15,40.47025
21,21.0,-75.44,40.65,40.316625
55,55.0,-89.22,48.43,40.312
14,14.0,-73.63,40.73,40.254875
36,36.0,-99.95,49.84,40.171375
56,56.0,-71.15,42.32,39.215125
41,41.0,-123.13,49.25,39.108
20,20.0,-83.18,42.56,38.87175
52,52.0,-97.15,49.85,38.64475
46,46.0,-77.49,39.04,37.881125
44,44.0,-84.26,39.27,37.86675
4,4.0,-79.69,43.45,37.778625
53,53.0,-84.67,37.84,37.676125
24,24.0,-85.68,38.22,37.54475
30,30.0,-71.24,46.81,37.5115
11,11.0,-80.49,43.45,36.72075
37,37.0,-117.86,33.93,36.590875
15,15.0,-112.09,33.72,36.15225
38,38.0,-118.4,34.02,35.627625
42,42.0,-96.34,30.65,35.46875
58,58.0,-83.89,40.9,34.269375
65,65.0,-114.08,51.05,33.990625
25,25.0,-75.41,40.05,33.942625
35,35.0,-88.05,42.05,33.815375
77,77.0,-79.77,36.07,32.8085
61,61.0,-76.97,39.0,32.124125
67,67.0,-99.29,37.6,32.02375
49,49.0,-82.52,35.49,31.046875
57,57.0,-78.31,44.28,30.919375
33,33.0,-78.86,43.9,30.876875
68,68.0,-79.96,40.44,30.507
81,81.0,-86.57,34.79,30.447625
76,76.0,-85.55,42.93,28.908375
62,62.0,-73.62,45.51,28.288125
64,64.0,-90.58,41.51,28.26725
66,66.0,-73.58,45.51,28.2325
43,43.0,-118.25,34.05,27.993875
60,60.0,-86.72,42.0,27.60325
34,34.0,-98.4,29.49,27.20975
71,71.0,-77.35,38.93,27.114
59,59.0,-79.42,43.67,26.819
54,54.0,-97.0,38.0,26.334375
87,87.0,-64.37,45.89,25.867
63,63.0,-84.64,42.73,25.081125
69,69.0,-93.26,44.98,22.809125
73,73.0,-83.38,42.46,22.364625
82,82.0,-79.54,36.62,21.263
84,84.0,-84.85,43.56,20.006625
72,72.0,-111.89,33.61,19.658875
90,90.0,-75.93,40.35,18.407625
79,79.0,-120.55,47.0,17.821625
74,74.0,-95.36,29.76,17.7515
13,13.0,-71.08,42.36,17.34525
78,78.0,-90.44,38.61,16.483125
80,80.0,-118.17,34.17,15.19425
85,85.0,-93.19,45.07,14.67
89,89.0,-104.63,50.43,12.2675
88,88.0,-122.18,37.38,10.281
93,93.0,-71.94,45.39,9.80825
86,86.0,-96.81,32.78,9.27575
75,75.0,-122.33,47.61,8.399875
91,91.0,-106.65,35.08,7.924125
92,92.0,-87.93,41.83,7.407
8,8.0,-122.39,37.77,6.46525
83,83.0,-75.6,39.56,0.919625
94,94.0,-121.44,38.57,0.0
95,95.0,-71.26,42.4,0.0
96,96.0,-72.45,42.39,0.0
