Name,Region,Latitude,Longitude,Elev
1, Langila  ,-5.53,148.42,2
1, Bezymianny  ,55.98,160.59,3
1, Veniaminof  ,56.17,-159.38,2
1, Soufriere Hills  ,16.72,-62.18,3
1, Kikai  ,30.79,130.31,2
1, Anatahan  ,16.35,145.67,2
1, Raung  ,-8.12,114.04,2
1, Nyamuragira  ,-1.41,29.2,2
1, Popocatepetl  ,19.02,-98.62,2
1, Awu  ,3.67,125.5,2
1, Tengger Caldera  ,-7.94,112.95,2
1, Kerinci  ,-1.81,101.26,2
1, Egon  ,-8.67,122.45,2
1, Galeras  ,1.22,-77.37,3
1, Marapi  ,-0.38,100.47,2
1, Asama  ,36.4,138.53,2
1, Rinjani  ,-8.42,116.47,2
1, St. Helens  ,46.2,-122.18,2
1, Soputan  ,1.11,124.72,3
1, Manam  ,-4.1,145.06,3
1, Grimsvotn  ,64.42,-17.33,3
1, Reventador  ,-0.08,-77.66,2
1, Suwanose-jima  ,29.64,129.72,2
1, Kikai  ,30.79,130.31,2
1, Mayon  ,13.26,123.69,2
1, Llaima  ,-38.69,-71.73,2
1, Ulawun  ,-5.05,151.33,2
1, Chikurachki  ,50.33,155.46,2
1, Anatahan  ,16.35,145.67,3
1, Lewotobi  ,-8.53,122.78,2
1, Lopevi  ,-16.51,168.35,3
1, Leroboleng  ,-8.36,122.84,3
1, Aso  ,32.88,131.11,2
1, Bezymianny  ,55.98,160.59,3
1, Sabancaya  ,-15.78,-71.85,2
1, Gamalama  ,0.8,127.33,2
1, Lokon-Empung  ,1.36,124.79,3
1, Fuego  ,14.47,-90.88,2
1, Manam  ,-4.1,145.06,3
1, Chikurachki  ,50.33,155.46,2
1, Lokon-Empung  ,1.36,124.79,2
1, Kliuchevskoi  ,56.06,160.64,2
1, Kikai  ,30.79,130.31,2
1, Nyiragongo  ,-1.52,29.25,2
1, Langila  ,-5.53,148.42,2
1, Raung  ,-8.12,114.04,2
1, Nyamuragira  ,-1.41,29.2,2
1, Pago  ,-5.58,150.52,3
1, Ulawun  ,-5.05,151.33,2
1, Etna  ,37.73,15,3
1, Lascar  ,-23.37,-67.73,2
1, Manam  ,-4.1,145.06,2
1, Reventador  ,-0.08,-77.66,4
1, Papandayan  ,-7.32,107.73,2
1, Fournaise Piton de la  ,-21.23,55.71,2
1, Lokon-Empung  ,1.36,124.79,2
1, Bezymianny  ,55.98,160.59,2
1, Kliuchevskoi  ,56.06,160.64,2
1, Mayon  ,13.26,123.69,3
1, Inielika  ,-8.73,120.98,2
1, Miyake-jima  ,34.08,139.53,2
1, Ulawun  ,-5.05,151.33,3
1, Cleveland  ,52.83,-169.94,3
1, Nyamuragira  ,-1.41,29.2,2
1, Marapi  ,-0.38,100.47,2
1, Kerinci  ,-1.81,101.26,2
1, Lopevi  ,-16.51,168.35,3
1, Etna  ,37.73,15,3
1, Bezymianny  ,55.98,160.59,3
1, Ulawun  ,-5.05,151.33,2
1, Karymsky  ,54.05,159.43,3
1, Bezymianny  ,55.98,160.59,2
1, Kikai  ,30.79,130.31,2
1, Nyamuragira  ,-1.41,29.2,2
1, Kliuchevskoi  ,56.06,160.64,2
1, Suwanose-jima  ,29.64,129.72,2
1, Hekla  ,63.98,-19.7,3
1, Marapi  ,-0.38,100.47,2
1, Bezymianny  ,55.98,160.59,2
1, Mutnovsky  ,52.45,158.19,2
1, Usu  ,42.54,140.84,2
1, Sabancaya  ,-15.78,-71.85,2
1, Lokon-Empung  ,1.36,124.79,2
1, Soputan  ,1.11,124.72,3
1, Heard  ,-53.11,73.51,2
1, Cameroon  ,4.2,9.17,2
1, Manam  ,-4.1,145.06,2
1, Miyake-jima  ,34.08,139.53,3
1, Copahue  ,-37.85,-71.17,2
1, Raung  ,-8.12,114.04,2
1, Mayon  ,13.26,123.69,2
1, Lascar  ,-23.37,-67.73,2
1, Kliuchevskoi  ,56.06,160.64,2
1, Ulawun  ,-5.05,151.33,4
1, Bezymianny  ,55.98,160.59,2
1, Tengger Caldera  ,-7.94,112.95,2
1, Suwanose-jima  ,29.64,129.72,3
1, Peuet Sague  ,4.91,96.33,2
1, Bezymianny  ,55.98,160.59,2
1, Kerinci  ,-1.81,101.26,2
1, Shishaldin  ,54.76,-163.97,3
1, Cameroon  ,4.2,9.17,2
1, Lewotobi  ,-8.53,122.78,2
1, Marapi  ,-0.38,100.47,2
1, Shiveluch  ,56.65,161.36,2
1, Kliuchevskoi  ,56.06,160.64,2
1, San Cristobal  ,12.7,-87,2
1, Fuego  ,14.47,-90.88,2
1, Telica  ,12.6,-86.84,2
1, Mayon  ,13.26,123.69,3
1, Raung  ,-8.12,114.04,2
1, Negro Cerro  ,12.51,-86.7,3
1, Shiveluch  ,56.65,161.36,4
1, Tungurahua  ,-1.47,-78.44,2
1, Rincon de la Vieja  ,10.83,-85.32,2
1, Llaima  ,-38.69,-71.73,2
1, Kikai  ,30.79,130.31,2
1, Shiveluch  ,56.65,161.36,3
1, Atka  ,52.38,-174.15,3
1, Lopevi  ,-16.51,168.35,3
1, Kerinci  ,-1.81,101.26,2
1, Kliuchevskoi  ,56.06,160.64,2
1, Sabancaya  ,-15.78,-71.85,2
1, Guagua Pichincha  ,-0.17,-78.6,3
1, Nyamuragira  ,-1.41,29.2,2
1, Komaga-take  ,42.06,140.68,2
1, Kerinci  ,-1.81,101.26,2
1, Llaima  ,-38.69,-71.73,2
1, Ibu  ,1.48,127.64,2
1, Grimsvotn  ,64.42,-17.33,3
1, Okmok  ,53.43,-168.13,3
1, Shiveluch  ,56.65,161.36,2
1, Raung  ,-8.12,114.04,2
1, Sabancaya  ,-15.78,-71.85,3
1, Bezymianny  ,55.98,160.59,3
1, Colima  ,19.51,-103.62,3
1, Bezymianny  ,55.98,160.59,3
1, Gamalama  ,0.8,127.33,2
1, Akademia Nauk  ,53.98,159.45,3
1, Karymsky  ,54.05,159.43,3
1, Unzen  ,32.76,130.29,2
1, Popocatepetl  ,19.02,-98.62,3
1, Ruapehu  ,-39.28,175.57,3
1, Atka  ,52.38,-174.15,2
1, Canlaon  ,10.41,123.13,2
1, Pavlof  ,55.42,-161.89,2
1, Grimsvotn  ,64.42,-17.33,3
1, Lascar  ,-23.37,-67.73,2
1, Kliuchevskoi  ,56.06,160.64,2
1, Nyamuragira  ,-1.41,29.2,3
1, Alaid  ,50.86,155.55,2
1, Ruapehu  ,-39.28,175.57,3
1, Fernandina  ,-0.37,-91.55,2
1, Aoba  ,-15.4,167.83,2
1, Fogo  ,14.95,-24.35,2
1, Negro Cerro  ,12.51,-86.7,2
1, Soufriere Hills  ,16.72,-62.18,3
1, Raung  ,-8.12,114.04,2
1, Bezymianny  ,55.98,160.59,3
1, Copahue  ,-37.85,-71.17,2
1, Irruputuncu  ,-20.73,-68.55,2
1, Llaima  ,-38.69,-71.73,2
1, Rincon de la Vieja  ,10.83,-85.32,2
1, Shishaldin  ,54.76,-163.97,3
1, Gamalama  ,0.8,127.33,2
1, Tinguiririca  ,-34.81,-70.35,2
1, Poas  ,10.2,-84.23,2
1, Aso  ,32.88,131.11,2
1, Llaima  ,-38.69,-71.73,2
1, Cleveland  ,52.83,-169.94,3
1, Rinjani  ,-8.42,116.47,3
1, Etna  ,37.73,15,3
1, Nyamuragira  ,-1.41,29.2,2
1, Bezymianny  ,55.98,160.59,2
1, Lascar  ,-23.37,-67.73,2
1, Telica  ,12.6,-86.84,2
1, Kliuchevskoi  ,56.06,160.64,3
1, Lascar  ,-23.37,-67.73,2
1, Bulusan  ,12.77,124.05,2
1, Copahue  ,-37.85,-71.17,2
1, Irazu  ,9.98,-83.85,2
1, Popocatepetl  ,19.02,-98.62,2
1, Heard  ,-53.11,73.51,2
1, Ulawun  ,-5.05,151.33,2
1, Galeras  ,1.22,-77.37,2
1, Lascar  ,-23.37,-67.73,4
1, Mayon  ,13.26,123.69,2
1, Aracar  ,-24.25,-67.77,2
1, Gamalama  ,0.8,127.33,2
1, Seguam  ,52.31,-172.51,2
1, Kanaga  ,51.92,-177.17,2
1, Veniaminof  ,56.17,-159.38,2
1, Canlaon  ,10.41,123.13,2
1, Shishaldin  ,54.76,-163.97,2
1, Bezymianny  ,55.98,160.59,3
1, Lascar  ,-23.37,-67.73,2
1, Merapi  ,-7.54,110.44,2
1, Kliuchevskoi  ,56.06,160.64,2
1, Akutan  ,54.13,-165.99,2
1, Bezymianny  ,55.98,160.59,2
1, Negro Cerro  ,12.51,-86.7,3
1, Aso  ,32.88,131.11,2
1, Canlaon  ,10.41,123.13,2
1, Spurr  ,61.3,-152.25,4
1, Copahue  ,-37.85,-71.17,2
1, Kliuchevskoi  ,56.06,160.64,2
1, Seguam  ,52.31,-172.51,2
1, Peuet Sague  ,4.91,96.33,2
1, Avachinsky  ,53.26,158.83,2
1, Hekla  ,63.98,-19.7,3
1, Planchon-Peteroa  ,-35.24,-70.57,2
1, Canlaon  ,10.41,123.13,2
1, Colima  ,19.51,-103.62,2
1, Pinatubo  ,15.13,120.35,6
1, Kliuchevskoi  ,56.06,160.64,2
1, Fernandina  ,-0.37,-91.55,2
1, Rincon de la Vieja  ,10.83,-85.32,2
1, Lokon-Empung  ,1.36,124.79,3
1, Soputan  ,1.11,124.72,2
1, Karthala  ,-11.75,43.38,2
1, Hudson Cerro  ,-45.9,-72.97,5
1, Villarrica  ,-39.42,-71.93,2
1, Raung  ,-8.12,114.04,2
1, Akutan  ,54.13,-165.99,2
1, Nyamuragira  ,-1.41,29.2,3
1, Marchena  ,0.33,-90.47,2
1, Lascar  ,-23.37,-67.73,2
1, Westdahl  ,54.52,-164.65,3
1, Etna  ,37.73,15,2
1, Pacaya  ,14.38,-90.6,3
1, Galeras  ,1.22,-77.37,2
1, Shiveluch  ,56.65,161.36,3
1, Raung  ,-8.12,114.04,2
1, Akutan  ,54.13,-165.99,2
1, Bezymianny  ,55.98,160.59,3
1, Kelut  ,-7.93,112.31,4
1, Pavlof  ,55.42,-161.89,2
1, Suwanose-jima  ,29.64,129.72,2
1, Gamalama  ,0.8,127.33,3
1, Sabancaya  ,-15.78,-71.85,3
1, Kiska  ,52.1,177.6,2
1, Asama  ,36.4,138.53,2
1, Ambrym  ,-16.25,168.12,2
1, Akutan  ,54.13,-165.99,2
1, Oshima  ,34.72,139.4,2
1, St. Helens  ,46.2,-122.18,3
1, Kerinci  ,-1.81,101.26,2
1, Ulawun  ,-5.05,151.33,2
1, Ebeko  ,50.68,156.02,2
1, Galeras  ,1.22,-77.37,2
1, Akutan  ,54.13,-165.99,2
